Registration #,User ID,Email,User Type,Country,Sector,Display Option,Preferred Currency,Company Name,Startup Stage,Base Price (INR),Base Price (USD),Extra Paid (INR),Extra Paid (USD),Total Referrals,Referral Code,Referral Earnings (INR),Referral Earnings (USD),INR Available,INR Pending,USD Available,USD Pending,Leaderboard Rank,Percentile,Ranking Score,Subscription Tier,Registration Timestamp,Status
11,7de028c3-b873-444c-bb5d-4f20ccd6e6ae,user11@example.com,professional,Trinidad and Tobago,Strategy,fancy_username,USD,NewsHub Digital,N/A,₹999,$14.99,₹0,$0,0,REF69470,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,11,3.14%,0.00,Advanced,2025-11-16T21:27:29.792946Z,verified
12,dfcd178b-2cdf-4c5f-943b-5b79aef0b83a,morgan_12@startup.io,mentor,Palestine,Construction & Engineering,anonymous,USD,,N/A,₹999,$14.99,₹1000,$12.05,10,REF30032,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,12,3.43%,11.00,Advanced,2025-11-05T20:27:29.793428Z,verified
13,ae4f90fd-355e-4a85-bd2c-fd3721b5b856,user13@example.com,service_provider,Afghanistan,Accounting & Bookkeeping,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF41385,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,13,3.71%,0.00,Advanced,2025-11-20T17:27:29.793522Z,verified
14,fdd0a0ad-476d-49db-87ec-bb02d108d03f,user14@example.com,professional,Vatican City,Orthopedics,real_name,INR,FitnessPro Digital,N/A,₹999,$14.99,₹0,$0,0,REF31643,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,14,4.0%,0.00,Advanced,2025-11-13T09:27:29.793592Z,pending
15,f372161a-8eaf-437d-866f-bdc1cd3aa302,user15@example.com,service_provider,Vanuatu,Art & Design,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF58944,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,15,4.29%,0.00,Advanced,2025-11-01T06:27:29.793649Z,verified
16,b2110034-7733-4596-a764-eb97f002f820,user16@example.com,vc,France,Logistics & Supply Chain,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF38864,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,16,4.57%,0.00,Advanced,2025-11-29T08:27:29.793704Z,verified
17,b5b6eca3-f6b2-49c7-98b7-e0a6a4cfc9e7,user17@example.com,vc,Benin,Cybersecurity,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF73624,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,17,4.86%,0.00,Advanced,2025-11-26T05:27:29.793800Z,verified
18,dab01739-1679-4ec8-ad47-12bd3574a3d6,user18@example.com,influencer,Saudi Arabia,Cosmetology,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF96374,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,18,5.14%,0.00,Advanced,2025-12-07T23:27:29.793879Z,pending
19,c7550e7b-8891-49d6-ac2c-b44e3b3a8e09,user19@example.com,startup,Togo,Energy & Utilities,real_name,USD,InvestFlow Capital,Seed,₹999,$14.99,₹5000,$60.24,34,REF42591,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,19,5.43%,39.00,Advanced,2025-10-19T23:27:29.793934Z,pending
20,6cd858da-6866-48bb-b06d-062fc5215df8,casey_20@startup.io,vc,Bolivia,Laundry Services,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF22224,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,20,5.71%,0.00,Advanced,2025-11-10T02:27:29.793994Z,verified
21,432aea5c-d6cc-4fbe-8d86-c4a909adf8f0,casey_21@startup.io,ngo,Ethiopia,Retail Space,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF69638,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,21,6.0%,0.00,Advanced,2025-11-19T18:27:29.794058Z,verified
22,90eb58fa-6db0-49e7-aeef-13d86005d839,user22@example.com,service_provider,Tanzania,Orthopedics,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF81066,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,22,6.29%,0.00,Professional,2025-12-10T08:27:29.794109Z,pending
23,110cc700-a7dc-4b3d-95a4-606efadace46,morgan_23@startup.io,ngo,Palau,Interpretation,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF18981,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,23,6.57%,0.00,Professional,2025-10-20T21:27:29.794161Z,verified
24,3cd55df1-e0b8-4385-be0c-d94b076f8c5d,user24@example.com,government,Cape Verde,Corporate Training,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF86503,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,24,6.86%,0.00,Professional,2025-11-17T05:27:29.794310Z,pending
25,e609528a-1a21-438c-a1d6-66ba9d63b424,user25@example.com,vc,Timor-Leste,Payment Processing,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF49321,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,25,7.14%,0.00,Professional,2025-11-01T06:27:29.794385Z,verified
26,be31520d-239b-44a1-bd6e-879fb81d6708,morgan_26@startup.io,influencer,Burkina Faso,Real Estate & PropTech,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF19016,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,26,7.43%,0.00,Professional,2025-12-05T15:27:29.794440Z,pending
27,f725ec7e-6269-4983-be02-5a12a0414438,casey_27@startup.io,service_provider,Ukraine,Warehouse Management,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF96951,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,27,7.71%,0.00,Professional,2025-11-08T17:27:29.794503Z,verified
28,b2d7005f-e9ec-4324-81a3-33b77cfc53e2,alex_28@startup.io,service_provider,Croatia,Transportation,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF44600,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,28,8.0%,0.00,Professional,2025-10-31T06:27:29.794560Z,pending
29,3f8c821c-22b0-4b2b-a78d-6dfd10f7e722,user29@example.com,startup,Brunei,Plumbing,fancy_username,INR,MarketingMax Pro,Mature,₹999,$14.99,₹0,$0,10,REF93507,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,29,8.29%,10.00,Professional,2025-10-25T22:27:29.794624Z,verified
30,a5c578c1-f95c-41f9-b629-c6ab810c5893,user30@example.com,service_provider,Algeria,Legal Tech,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF86350,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,30,8.57%,0.00,Professional,2025-10-21T15:27:29.794688Z,pending
31,7f01269f-4cf2-4ecd-9413-36f41b44fc82,jordan_31@startup.io,accelerator,Bahamas,Venture Capital,real_name,INR,,N/A,₹999,$14.99,₹0,$0,47,REF63264,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,31,8.86%,47.00,Professional,2025-11-21T09:27:29.794744Z,verified
32,bfc9cf5f-407b-491a-963f-c0a29fff6785,user32@example.com,vc,Cyprus,Diagnostics,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF63964,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,32,9.14%,0.00,Professional,2025-10-15T16:27:29.794806Z,verified
33,760252a7-cda9-4ac7-b7c2-8095374d3c68,user33@example.com,angel,Cuba,Construction & Engineering,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF55830,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,33,9.43%,0.00,Professional,2025-12-01T12:27:29.794878Z,verified
34,29edb3f2-7c56-4d45-be99-013df8c482e0,sam_34@startup.io,government,Kenya,Ride-Sharing,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF99065,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,34,9.71%,0.00,Professional,2025-11-11T14:27:29.794957Z,verified
35,2459b91e-1a88-4428-b12d-31f0217de397,user35@example.com,startup,Canada,Government Tech,real_name,USD,RiskGuard Systems,Pre-seed,₹999,$14.99,₹0,$0,20,REF55309,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,35,10.0%,20.00,Professional,2025-11-05T13:27:29.795036Z,pending
36,c1015524-ab6d-4f33-baa7-e73b4e3e3acd,user36@example.com,vc,Guatemala,Quantum Computing,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF97900,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,36,10.29%,0.00,Beginner,2025-10-15T09:27:29.795107Z,pending
37,467f6412-e505-4aeb-b74a-480362d00d96,jordan_37@startup.io,influencer,Jamaica,Enterprise Software,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF52753,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,37,10.57%,0.00,Beginner,2025-11-01T13:27:29.795165Z,pending
38,65bbe9f3-28f0-4781-9ff7-87450be5f59e,user38@example.com,vc,Micronesia,Tour & Activity Booking,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF81819,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,38,10.86%,0.00,Beginner,2025-11-24T14:27:29.795295Z,pending
39,057bf8d6-3923-4af4-8f0f-b9119ee03507,casey_39@startup.io,influencer,Solomon Islands,Accounting & Bookkeeping,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,0,REF72021,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,39,11.14%,0.00,Beginner,2025-11-30T10:27:29.795372Z,verified
40,bf587592-0625-46f8-8d5e-a4c9e693cdca,alex_40@startup.io,angel,Papua New Guinea,Mortgage & Lending,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF29313,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,40,11.43%,0.00,Beginner,2025-11-29T20:27:29.795436Z,verified
41,5d0349a6-7e18-4e15-9b5e-85410d4056c0,user41@example.com,influencer,Bhutan,Elder Care,fancy_username,INR,,N/A,₹999,$14.99,₹500,$6.02,0,REF41979,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,41,11.71%,0.50,Beginner,2025-11-12T14:27:29.795492Z,verified
42,d1ee9c19-1d9b-4d20-8983-5641ea5f4796,alex_42@startup.io,government,Finland,Diagnostics,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF69829,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,42,12.0%,0.00,Beginner,2025-11-28T23:27:29.795562Z,pending
43,5f924faa-c6b7-42b0-96d9-decbbd2e8e29,user43@example.com,service_provider,Singapore,Risk Management,fancy_username,USD,,N/A,₹999,$14.99,₹1000,$12.05,0,REF72216,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,43,12.29%,1.00,Beginner,2025-11-15T21:27:29.795747Z,verified
44,3f04de4d-6e06-475b-b68c-b5dad87026d3,user44@example.com,angel,Peru,Orthopedics,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF47450,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,44,12.57%,0.00,Beginner,2025-12-09T04:27:29.795833Z,pending
45,7c2d0e53-2819-4064-a299-ddd807708b12,user45@example.com,service_provider,Bosnia and Herzegovina,Autonomous Vehicles,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF38043,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,45,12.86%,0.00,Beginner,2025-12-04T04:27:29.795888Z,pending
46,bbc995e2-a5e2-4b62-8283-7eef3a3dd24a,user46@example.com,ngo,Mexico,Social Media & Content,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF12560,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,46,13.14%,0.00,Beginner,2025-10-25T08:27:29.795940Z,verified
47,ec0712fe-4906-4c68-846c-27fe50495de6,user47@example.com,startup,Lebanon,Shipping & Freight,fancy_username,USD,TravelMate Global,Series B,₹999,$14.99,₹0,$0,31,REF89069,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,47,13.43%,31.00,Beginner,2025-10-27T09:27:29.796004Z,pending
48,a7994468-3e60-460e-b84e-3ebd1146df6f,user48@example.com,government,Kuwait,Warehouse Space,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF13534,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,48,13.71%,0.00,Beginner,2025-11-04T09:27:29.796075Z,verified
49,26c13d5a-0231-4b4e-bcbc-c5968062ee92,user49@example.com,startup,Botswana,Electrical,real_name,USD,SmartCity Systems,Late Stage,₹999,$14.99,₹0,$0,20,REF52906,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,49,14.0%,20.00,Beginner,2025-11-27T14:27:29.796138Z,pending
50,8c1fbc0f-2b2e-473e-9627-98f111e6b408,user50@example.com,government,Grenada,Food & Beverage,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF39389,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,50,14.29%,0.00,Beginner,2025-10-14T15:27:29.796271Z,verified
51,c936ed08-ab7d-4e0c-9f73-420301685751,alex_51@startup.io,vc,Eritrea,Blockchain & Crypto,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF24993,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,51,14.57%,0.00,Beginner,2025-11-13T05:27:29.796335Z,verified
52,5f6bccf3-2f3b-4bb5-8477-ee89708c25df,user52@example.com,angel,Liechtenstein,Telemedicine,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF85849,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,52,14.86%,0.00,Beginner,2025-11-24T23:27:29.796391Z,pending
53,8da5b072-74fb-4cd3-a61e-917999ee1d83,user53@example.com,government,Mali,Photography,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF99687,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,53,15.14%,0.00,Beginner,2025-10-25T17:27:29.796443Z,verified
54,d6f055c6-c7ca-42a8-a3d0-f8ab818e3ddb,user54@example.com,influencer,Bahamas,Crypto Trading,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF94874,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,54,15.43%,0.00,Beginner,2025-12-09T10:27:29.796493Z,pending
55,c7425777-ddb4-49db-ab58-88dc884e025a,user55@example.com,professional,Mongolia,Private Equity,anonymous,USD,WellnessHub,N/A,₹999,$14.99,₹500,$6.02,0,REF78386,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,55,15.71%,0.50,Beginner,2025-12-02T03:27:29.796546Z,verified
56,cff03710-298d-4770-b412-5410dc429340,user56@example.com,service_provider,North Korea,Meditation & Wellness,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,0,REF46559,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,56,16.0%,0.00,Beginner,2025-11-29T00:27:29.796620Z,verified
57,7a65a1bf-5c3e-48df-9787-8bdba9adb051,user57@example.com,influencer,Somalia,Tour & Activity Booking,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF73904,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,57,16.29%,0.00,Beginner,2025-11-23T21:27:29.796696Z,pending
58,ac28dbc0-2e17-4492-9d4c-82c93ad36423,user58@example.com,influencer,Uganda,Parking & Mobility,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF41635,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,58,16.57%,0.00,Beginner,2025-12-02T00:27:29.796780Z,pending
59,ce400f2f-6c09-47c2-9160-0f81dfc9637c,user59@example.com,vc,Turkey,Cosmetology,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF48566,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,59,16.86%,0.00,Beginner,2025-12-13T00:27:29.796846Z,verified
60,b61fc2a3-83ea-4c09-bec6-9779e9941a05,morgan_60@startup.io,accelerator,Niger,Accounting,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,29,REF53357,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,60,17.14%,29.00,Beginner,2025-10-27T09:27:29.796900Z,pending
61,b27ae965-f3b3-4b6e-a51f-81b57fa34a3b,user61@example.com,vc,Cape Verde,Video Production,fancy_username,INR,,N/A,₹999,$14.99,₹5000,$60.24,0,REF35105,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,61,17.43%,5.00,Beginner,2025-10-30T21:27:29.796955Z,pending
62,19b8ff1b-dd4e-44e0-8d56-e6dbbda3a9af,morgan_62@startup.io,service_provider,Singapore,Car Rental,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF49618,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,62,17.71%,0.00,Beginner,2025-11-20T21:27:29.797008Z,verified
63,4cafadcc-f486-4e6f-b206-5be55405ce36,alex_63@startup.io,startup,Saint Kitts and Nevis,Bike & Scooter Sharing,anonymous,INR,CreativeStudio Pro,Mature,₹999,$14.99,₹0,$0,36,REF23446,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,63,18.0%,36.00,Beginner,2025-10-26T11:27:29.797060Z,pending
64,d326e531-350e-4fd7-97d4-9f847dc4baf5,user64@example.com,mentor,Barbados,University Tech,fancy_username,INR,,N/A,₹999,$14.99,₹500,$6.02,3,REF85631,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,64,18.29%,3.50,Beginner,2025-11-13T00:27:29.797124Z,verified
65,7ade8435-9b83-4a03-a026-012c72a7dd2b,morgan_65@startup.io,angel,Botswana,Corporate Training,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF39581,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,65,18.57%,0.00,Beginner,2025-10-24T07:27:29.797234Z,pending
66,31d83468-8e64-44bc-b81d-55d824492a58,user66@example.com,ngo,Iraq,Electrical,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF37235,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,66,18.86%,0.00,Beginner,2025-10-27T23:27:29.797329Z,pending
67,9e11fe34-e9d8-4411-ab45-12612ec51420,user67@example.com,mentor,Germany,Medical Devices,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,2,REF87832,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,67,19.14%,2.00,Beginner,2025-11-17T12:27:29.797384Z,verified
68,e83a4614-ebbb-452c-9a06-2e57644149c7,jordan_68@startup.io,ngo,Bhutan,Professional Development,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF94886,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,68,19.43%,0.00,Beginner,2025-11-09T19:27:29.797439Z,pending
69,ac315828-57f0-4c5b-8a79-be24f80907cd,user69@example.com,professional,Belgium,Telemedicine,fancy_username,USD,WellnessHub,N/A,₹999,$14.99,₹0,$0,0,REF49857,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,69,19.71%,0.00,Beginner,2025-11-14T04:27:29.797491Z,verified
70,9d89bd06-b0ef-4eee-b637-f36de4d6a483,user70@example.com,ngo,Bosnia and Herzegovina,IoT & Hardware,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,0,REF40005,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,70,20.0%,0.00,Beginner,2025-12-13T00:27:29.797542Z,verified
71,984355ca-85ed-4cbd-bb61-0188d83aba4c,user71@example.com,startup,Togo,Smart Cities,anonymous,INR,AgriGrow Technologies,Late Stage,₹999,$14.99,₹0,$0,17,REF95394,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,71,20.29%,17.00,Beginner,2025-11-13T10:27:29.797614Z,verified
72,c5ee32e8-2503-4b46-9e38-9858439dd7a4,user72@example.com,professional,Nicaragua,Currency Exchange,fancy_username,USD,FoodHub Express,N/A,₹999,$14.99,₹0,$0,0,REF53228,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,72,20.57%,0.00,Beginner,2025-12-07T21:27:29.797668Z,pending
73,d4ba5c99-429e-4ee9-bcc4-23e22efa9950,user73@example.com,government,Rwanda,Data Analytics & Big Data,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF62976,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,73,20.86%,0.00,Beginner,2025-11-23T23:27:29.797719Z,verified
74,f98ded60-5f0f-4604-8ffc-2b9fe247136d,user74@example.com,service_provider,Netherlands,Residential Property,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF91973,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,74,21.14%,0.00,Beginner,2025-11-04T11:27:29.797778Z,verified
75,ab0544c6-ddd3-49b2-a2a5-f487319382a4,morgan_75@startup.io,mentor,India,Cleaning Services,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,19,REF41365,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,75,21.43%,19.00,Beginner,2025-11-03T07:27:29.797839Z,verified
76,a49ce5c4-6e2d-420b-b207-e86b501501e0,casey_76@startup.io,professional,France,Human Resources & Recruitment,fancy_username,INR,WellnessHub,N/A,₹999,$14.99,₹0,$0,0,REF48254,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,76,21.71%,0.00,Beginner,2025-12-04T11:27:29.797902Z,pending
77,32afa864-0faf-4cf1-aa15-b089ac63ef00,user77@example.com,ngo,Ghana,Elder Care,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF76616,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,77,22.0%,0.00,Beginner,2025-10-16T07:27:29.797954Z,verified
78,f74511e2-eb62-4d1c-8c7a-62aaa466b0ad,user78@example.com,angel,Mexico,Stock Trading,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF86931,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,78,22.29%,0.00,Beginner,2025-10-28T17:27:29.798016Z,verified
79,85501682-d5ec-415e-b4ac-0916b8c9d430,user79@example.com,mentor,Myanmar,Strategy,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,20,REF59441,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,79,22.57%,20.00,Beginner,2025-10-26T09:27:29.798068Z,verified
80,db65f6a3-6ffa-4666-95d9-556f4ec8c947,user80@example.com,vc,Sao Tome and Principe,Flight Booking,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF59968,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,80,22.86%,0.00,Beginner,2025-10-27T11:27:29.798120Z,verified
81,b0810c53-baca-492a-a29d-5b68e7b86a75,user81@example.com,mentor,Oman,Data Analytics & Big Data,real_name,USD,,N/A,₹999,$14.99,₹5000,$60.24,29,REF23069,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,81,23.14%,34.00,Beginner,2025-10-20T12:27:29.798172Z,verified
82,1a892edb-a3e9-4c07-867f-7d671807dddd,user82@example.com,government,Taiwan,Smart Home & IoT Devices,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF62098,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,82,23.43%,0.00,Beginner,2025-11-22T07:27:29.798302Z,pending
83,8c68b237-6c3c-47cb-91f6-d35764dd1626,user83@example.com,service_provider,Madagascar,Risk Management,anonymous,USD,,N/A,₹999,$14.99,₹0,$0,0,REF40771,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,83,23.71%,0.00,Beginner,2025-11-05T00:27:29.798371Z,pending
